Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0b699153-3a92-3026-a049-4fd21e3b6356,69176529-fd1f-3b3f-abce-a0a3626769eb,Lesley194 Fisher429,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,321
abf25ea6-33bb-3c55-846e-e61ac19b61c3,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chauncey770 Steuber698,M,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,589
e45ab069-7b5a-3374-a492-922fbab060f1,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Dagny669 Wyman904,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,49
136e540b-fd70-378c-9330-8d0e7a68a85a,e002090d-4e92-300e-b41e-7d1f21dee4c6,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,140
ce553192-b6d5-3847-a746-418cb98d3519,ef6ab57c-ed94-3dbe-9861-812d515918b3,Tuan998 Fadel536,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,27
7c93abc9-20cd-3b8e-9f07-e02f84f76342,49318f80-bd8b-3fc7-a096-ac43088b0c12,Almeta56 Carter549,F,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,211
2998a19e-dd6a-3a38-bbd5-221e77dad35b,fbf6180e-b800-3ebe-b91d-93d0288c400e,Peter292 Wintheiser220,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,31
4341cbe8-dbb3-3e78-82ea-89959807a8cf,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Margaret865 Herzog843,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,83
c8ac3a79-9b2a-3762-91e1-b24d08c1ffeb,4bdaa4c2-c664-3089-aee2-7137abbad27f,Emilia403 Jiménez568,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,375
bf3ca983-3819-377e-bbdc-5e9128904408,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Cecille691 Halvorson124,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,193
6b180374-6190-306f-b669-2877fb3ec300,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Tracy345 Spencer878,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,191
8b358bce-1959-37f4-bae6-1fbe499aafe8,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Joselyn874 Bayer639,F,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,63
7425c990-4f1c-3e02-9c06-f27071b268ba,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Jesus702 Crona259,M,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,97
c58e995b-4fd2-37a4-b00f-7383522a64f2,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Berta524 Espino352,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,238
