Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b63edfda-d82b-5fc1-4738-10b77b73b271,1968-07-31,,999-23-2392,S99999575,X8648891X,Mr.,Freeman822,Kessler503,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,555 Adams Row,Waltham,Massachusetts,Middlesex County,02451,42.41596765831592,-71.14072932964177,1176606.68,6018.65
64a92987-ac95-c759-a7fc-6681dd9f1a9d,1980-01-19,,999-58-5407,S99958388,X3509964X,Mr.,Cole117,Cole117,,,M,white,nonhispanic,M,Amherst  Massachusetts  US,668 Blanda Parade Unit 56,Wakefield,Massachusetts,Middlesex County,,42.4946596967589,-71.09170837305037,986229.12,7619.099999999998
f60528ec-2e90-cfa1-2e4a-f39b2becca3a,2000-02-06,,999-53-1457,S99954412,X41984089X,Mr.,Jerald662,Boehm581,,,,white,nonhispanic,M,Brockton  Massachusetts  US,142 Cummerata Mall Apt 92,Boston,Massachusetts,Suffolk County,02215,42.321882851212635,-71.1476407126717,28556.600000000002,9039.76
d481804f-6bc8-0f56-2d86-e084fc27fee4,1948-02-24,,999-47-6374,S99976037,X89525908X,Ms.,Debora709,Ortiz186,,,S,white,nonhispanic,F,Boston  Massachusetts  US,869 Gibson Ferry Apt 23,Cambridge,Massachusetts,Middlesex County,02141,42.39503151328358,-71.08524878101204,1424345.79,11226.079999999998
19615e11-00fb-6318-1951-ebfa256783d1,1959-04-28,,999-49-3834,S99936742,X64974201X,Mr.,Ollie731,Terry864,,,M,white,nonhispanic,M,East Longmeadow  Massachusetts  US,670 Cummings Viaduct,Upton,Massachusetts,Worcester County,,42.127015655526804,-71.58488178621512,195423.28,6311.0599999999995
c8d3cda9-53e4-6b55-5afd-355bef81fca8,1974-03-26,2016-08-16,999-78-8728,S99969995,X6519437X,Mr.,Barry322,Rippin620,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,426 Reichel Glen Suite 78,Lynn,Massachusetts,Essex County,01905,42.5050741201436,-71.01281892084994,1093798.79,10027.249999999998
6b565431-1ea6-c67f-2ec6-0c32e467a985,1955-09-07,2004-02-03,999-49-1377,S99978624,X6260478X,Mr.,Juan88,Schneider199,,,S,white,nonhispanic,M,Dalton  Massachusetts  US,380 Klein Neck Apt 7,Northampton,Massachusetts,Hampshire County,01060,42.37277288287044,-72.73245679993742,10000.38,0.0
9cdb3d9d-76d9-774b-586a-37270f257be1,1995-01-22,,999-87-1197,S99996426,X41570515X,Mrs.,Tiesha180,DuBuque211,,Hahn503,M,white,nonhispanic,F,Whitman  Massachusetts  US,902 Kertzmann Meadow Suite 53,Everett,Massachusetts,Middlesex County,02149,42.44745905323725,-71.10181731217641,716155.15,4292.37
9d657c13-47c9-dd06-34a6-d01837796674,1972-12-15,,999-31-6104,S99970276,X28898707X,Mr.,Wesley533,Wisoky380,,,M,white,nonhispanic,M,North Brookfield  Massachusetts  US,884 Herman Divide Unit 51,Everett,Massachusetts,Middlesex County,02149,42.384726357156296,-71.09170183966027,1140558.79,3287.0199999999995
e729180b-35e1-53e4-92aa-1f77fd321b46,1961-08-21,,999-28-7956,S99977561,X36554968X,Ms.,Kiara978,Murray856,,,S,white,nonhispanic,F,Wellesley  Massachusetts  US,422 Schumm Annex Apt 3,Worcester,Massachusetts,Worcester County,01583,42.232822852404915,-71.81238655719886,1317265.09,8114.039999999999
